"Ticker

",Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Piotroski F-Score,Altman Z-Score,Beneish M-Score
AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2877020000000.0,31.14,183.31,-0.0026,54684635.0,6.0,8.72,-2.9
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,243060000000.0,32.64,138.31,0.0042,4164839.0,7.0,1.92,-2.82
ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,36040000000.0,23.1,179.79,0.0026,1235318.0,5.0,4.69,-2.47
ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada,2180000000.0,,7.47,0.0095,2582781.0,5.0,5.51,-4.08
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,USA,78270000000.0,41.62,124.9,0.0025,5263874.0,6.0,3.94,-2.67
ACN,Accenture plc,Technology,Information Technology Services,Ireland,198140000000.0,29.01,315.16,0.0118,3469764.0,7.0,7.67,-2.64
ACT,"Enact Holdings, Inc.",Financial,Insurance - Specialty,USA,4160000000.0,5.9,25.85,0.0054,477431.0,,,
AFL,Aflac Incorporated,Financial,Insurance - Life,USA,41470000000.0,10.04,69.4,0.0096,3109443.0,5.0,,-2.4
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,USA,119140000000.0,18.7,141.79,0.0127,6856501.0,6.0,8.89,-2.37
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,USA,119700000000.0,15.08,221.99,0.0213,2240991.0,7.0,1.52,-2.61
AMK,"AssetMark Financial Holdings, Inc.",Financial,Asset Management,USA,2120000000.0,21.27,28.24,-0.0235,123881.0,7.0,4.57,-1.5
AMKR,"Amkor Technology, Inc.",Technology,Semiconductors,USA,6810000000.0,10.4,27.06,0.0161,1048088.0,5.0,3.51,-2.6
AMR,"Alpha Metallurgical Resources, Inc.",Basic Materials,Coking Coal,USA,2150000000.0,2.01,150.21,0.021,277897.0,9.0,6.6,-2.42
AY,Atlantica Sustainable Infrastructure plc,Utilities,Utilities - Renewable,United Kingdom,2810000000.0,,24.05,0.0004,684347.0,5.0,0.46,-2.94
BANF,BancFirst Corporation,Financial,Banks - Regional,USA,3080000000.0,14.62,93.79,0.0179,71453.0,8.0,,-2.51
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",Financial,Banks - Diversified,Spain,42360000000.0,6.31,7.07,-0.0028000000000000004,1351116.0,8.0,,-1.87
BEPC,Brookfield Renewable Corporation,Utilities,Utilities - Renewable,USA,5700000000.0,8.45,33.03,-0.0616,2170693.0,7.0,0.29,-1.91
BIPC,Brookfield Infrastructure Corporation,Utilities,Utilities - Regulated Gas,USA,5210000000.0,4.79,47.34,-0.0025,306082.0,5.0,0.9,-2.51
BMO,Bank of Montreal,Financial,Banks - Diversified,Canada,63690000000.0,11.79,88.84,0.02,374519.0,4.0,,-1.89
BRK-A,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,USA,739660000000.0,98.71,513655.59,0.0091,5933.0,4.0,,-3.48
BRO,"Brown & Brown, Inc.",Financial,Insurance Brokers,USA,18250000000.0,26.65,64.5,0.003,1129713.0,5.0,2.38,-2.01
BSM,"Black Stone Minerals, L.P.",Energy,Oil & Gas E&P,USA,3380000000.0,5.99,15.92,-0.0025,406158.0,7.0,62.54,-0.82
BTI,British American Tobacco p.l.c.,Consumer Defensive,Tobacco,United Kingdom,71320000000.0,8.74,32.31,0.0019,7623210.0,7.0,1.31,-2.51
BYD,Boyd Gaming Corporation,Consumer Cyclical,Resorts & Casinos,USA,7030000000.0,10.89,69.16,-0.003,906384.0,6.0,2.32,-2.57
CADE,Cadence Bank,Financial,Banks - Regional,USA,3970000000.0,9.48,21.45,0.0347,1243683.0,7.0,,-5.84
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,USA,126180000000.0,18.14,245.44,0.0317,4308739.0,8.0,3.24,-2.62
CATY,Cathay General Bancorp,Financial,Banks - Regional,USA,2540000000.0,6.78,35.02,0.0318,277973.0,7.0,,-3.98
CC,The Chemours Company,Basic Materials,Specialty Chemicals,USA,4950000000.0,10.42,32.22,0.0245,2031590.0,5.0,2.29,-2.68
CHKP,Check Point Software Technologies Ltd.,Technology,Software - Infrastructure,Israel,15050000000.0,19.25,126.88,0.0102,1168080.0,7.0,7.66,-2.7
CHTR,"Charter Communications, Inc.",Communication Services,Telecom Services,USA,51670000000.0,10.99,335.27,-0.0001,852866.0,6.0,0.68,-2.68
CIG,Companhia Energetica de Minas Gerais,Utilities,Utilities - Diversified,Brazil,6260000000.0,6.77,2.52,-0.027000000000000003,5426128.0,,1.64,
CIGI,Colliers International Group Inc.,Real Estate,Real Estate Services,Canada,4219999999.9999995,103.28,99.36,0.0022,89635.0,6.0,1.62,-2.3
CNQ,Canadian Natural Resources Limited,Energy,Oil & Gas E&P,Canada,61780000000.0,8.85,56.1,0.0194,2400490.0,7.0,3.01,-2.92
CNXC,Concentrix Corporation,Technology,Information Technology Services,USA,4440000000.0,10.86,85.45,0.019799999999999998,627513.0,,,
COKE,"Coca-Cola Consolidated, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,USA,6150000000.0,15.02,653.65,-0.0012,37290.0,9.0,4.28,-2.43
COTY,Coty Inc.,Consumer Defensive,Household & Personal Products,USA,10300000000.0,64.65,12.09,0.0075,6516853.0,6.0,0.66,-2.79
CRBG,"Corebridge Financial, Inc.",Financial,Asset Management,USA,11280000000.0,2.61,17.16,0.0263,4099190.0,,,-2.73
CRH,CRH plc,Basic Materials,Building Materials,Ireland,36960000000.0,14.36,50.05,0.0079,2057013.0,7.0,2.76,-2.36
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,USA,207100000000.0,18.27,50.8,0.0063,24030843.0,6.0,3.45,-2.84
CSX,CSX Corporation,Industrials,Railroads,USA,66910000000.0,16.04,32.66,0.008,15848869.0,6.0,2.6,-2.53
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,USA,298860000000.0,8.57,158.51,0.0075,7655706.0,9.0,4.58,-2.92
DAL,"Delta Air Lines, Inc.",Industrials,Airlines,USA,26600000000.0,14.06,41.56,0.0338,14090147.0,7.0,0.9,-3.01
DAVA,Endava plc,Technology,Software - Infrastructure,United Kingdom,2840000000.0,23.63,50.08,0.032400000000000005,299718.0,,,
DCP,"DCP Midstream, LP",Energy,Oil & Gas Midstream,USA,8700000000.0,7.74,41.66,0.0007000000000000001,5231622.0,8.0,2.25,-3.31
DDS,"Dillard's, Inc.",Consumer Cyclical,Department Stores,USA,5650000000.0,7.1,347.76,0.0176,146756.0,6.0,7.05,-1.6
DQ,Daqo New Energy Corp.,Technology,Solar,China,2990000000.0,2.02,40.48,-0.005600000000000001,911051.0,,,
DSGX,The Descartes Systems Group Inc.,Technology,Software - Application,Canada,6420000000.0,60.02,75.21,0.0113,161981.0,7.0,16.55,-2.71
E,Eni S.p.A.,Energy,Oil & Gas Integrated,Italy,47060000000.0,3.5,27.8,0.006500000000000001,231636.0,7.0,2.39,-2.38
EBC,"Eastern Bankshares, Inc.",Financial,Banks - Regional,USA,2390000000.0,,13.12,0.0331,731833.0,3.0,,-13.26
EQNR,Equinor ASA,Energy,Oil & Gas Integrated,Norway,92450000000.0,3.28,30.13,0.039,4843545.0,9.0,3.91,-2.12
ERF,Enerplus Corporation,Energy,Oil & Gas E&P,Canada,3100000000.0,3.37,14.46,0.0105,1115040.0,9.0,4.59,-3.21
FCNCA,"First Citizens BancShares, Inc.",Financial,Banks - Regional,USA,20060000000.0,1.85,1304.9,0.0286,125851.0,5.0,,-4.17
FERG,Ferguson plc,Industrials,Industrial Distribution,United Kingdom,30490000000.0,16.52,148.45,0.0152,1325957.0,,5.24,-2.54
FFBC,First Financial Bancorp.,Financial,Banks - Regional,USA,2130000000.0,8.49,22.1,0.0298,337820.0,5.0,,-2.43
FFIN,"First Financial Bankshares, Inc.",Financial,Banks - Regional,USA,4380000000.0,18.78,30.31,0.0441,785258.0,6.0,,-2.43
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,USA,56150000000.0,58.11,70.49,0.009300000000000001,4759778.0,9.0,5.99,-2.96
FULT,Fulton Financial Corporation,Financial,Banks - Regional,USA,2150000000.0,7.78,13.07,0.0062,1632987.0,5.0,,-2.65
FUN,"Cedar Fair, L.P.",Consumer Cyclical,Leisure,USA,2210000000.0,9.93,43.42,0.0091,571622.0,6.0,1.83,-3.41
GE,General Electric Company,Industrials,Specialty Industrial Machinery,USA,115980000000.0,15.6,106.74,0.0048,4271735.0,7.0,1.53,-2.55
GIB,CGI Inc.,Technology,Information Technology Services,Canada,22020000000.0,21.89,104.58,0.003,108760.0,7.0,4.26,-2.44
GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,USA,47620000000.0,17.43,80.73,-0.0104,5444233.0,7.0,3.1,-2.59
GLNG,Golar LNG Limited,Energy,Oil & Gas Midstream,Bermuda,2330000000.0,10.99,21.73,0.0023,864647.0,7.0,1.55,-1.79
GME,GameStop Corp.,Consumer Cyclical,Specialty Retail,USA,7760000000.0,,26.95,0.1091,17100000.0,4.0,4.65,-3.0
IBOC,International Bancshares Corporation,Financial,Banks - Regional,USA,3050000000.0,8.61,48.02,0.0129,235328.0,9.0,,-1.58
IGT,International Game Technology PLC,Consumer Cyclical,Gambling,United Kingdom,6500000000.0,29.54,31.7,0.0038,1587997.0,7.0,0.97,-2.97
